ID,Title,Description,Price,Location_Address,Location_City,Location_State,Location_Area,Amenities,Contact,Max_Guests,Rating_Average,Rating_Count,Rules,PG_Options_Single,PG_Options_Double,PG_Options_Triple,PG_Options_Quad,Created_At,Source
"15435e7e-1be0-4e64-a4fb-33486106c60e","More details VIGNESHWARA NEW LUXURY PG FOR LADIES -FULLY FURNISHED ROOMS - HOMELY ATMOSPHERE - TV IN","Premium PG accommodation in malleswaram. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator, microwave, heater. Contact: 7411787777",8000.00,"Shodhan Rainbow, No. 205, 2nd Main, Rukmini Nagar, Off Tumkur road, Adjacent to HMT Layout, Nagasandra, Bengaluru, Karnataka 560073 Landmark: Near Christ University Yeshwanthpur Campus Contact: RAGHU ","Bangalore","Karnataka","malleswaram","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator; microwave; heater","",2,4.2,55,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"e3728d4f-80ce-4b8b-ac6b-445495acaefe","Bangalore BANNU NEW LUXURY PG FOR MEN -Fully Furnished New Executive Rooms - LED TV & Telephone in e","Premium PG accommodation in adugodi. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator. Contact: 9972450169",8000.00,"# 412, 1st Cross, Hosur Main Road, Adugodi Signal Nanjappa Layout, Bangalore 560030 Landmark : Close to Forum Mall (Just a 2 mins walk), Near Christ University and Accenture Contact: DASARI VIJAY 9972","Bangalore","Karnataka","adugodi","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator","",2,4.2,58,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"be84f762-b10f-4cef-b068-992d845584cc","Fully Furnished New luxury PG - Hi-Speed WI-FI Connectivity - LED TV in every room - North & South I","Premium PG accommodation in adugodi. Amenities include: wifi, ac, tv, parking, meals, laundry, security, cctv, refrigerator. Contact: ",8000.00,"# 2/1, 80 ft. Road, Kormangala 7th Block, Bangalore - 560095 Landmark : Near Forum Mall Koramangala and Near JNC College","Bangalore","Karnataka","adugodi","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator","",2,4.2,12,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"7c4a7169-daa5-4e3f-a3ed-4d57b19cdba3","More details SRI GANGA NEW LUXURY PG FOR GIRLS -New Apaprtment with all Luxuries - Fully Furnished E","Premium PG accommodation in electroniccity. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator. Contact: 6360686076",8000.00,"Chennakeshava Nagar, Hosa Road Pragathi Nagar, Electronic City, Bengaluru, Karnataka 560100 Landmark: Close to PES School of Engineering and Electronic City Contact: NARESH 6360686076 8431939566 Pleas","Bangalore","Karnataka","electroniccity","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator","",2,4.2,41,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"76b702a8-6b32-4036-b384-ebbbb63c85ac","SRI DEVI NEW LUXURY PG FOR MEN -Fully Furnished New Luxury Rooms - LED TV in Each Room - HIGH Speed ","Premium PG accommodation in electroniccity. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator, iron, balcony. Contact: 9686262574",8000.00,"# 123, Silicon Town, Near Family Express Super Market, Opp. to Tirumala Apartment, Electronic City Phase 2, Bangalore 560100 Landmark: Near Tech Mahindra, Siemens and TCS, Electronic City, Bangalore C","Bangalore","Karnataka","electroniccity","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator; iron; balcony","",2,4.2,21,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"0e998da1-103a-4ef9-99e9-3b6261c96b43","MEN WOMEN SRI DEVI NEW LUXURY PG FOR MEN -Fully Furnished New Luxury Rooms - LED TV in Each Room - H","Premium PG accommodation in electroniccity. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator, iron, balcony. Contact: 9686262574",8000.00,"# 123, Silicon Town, Near Family Express Super Market, Opp. to Tirumala Apartment, Electronic City Phase 2, Bangalore 560100 Landmark: Near Tech Mahindra, Siemens and TCS, Electronic City, Bangalore C","Bangalore","Karnataka","electroniccity","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator; iron; balcony","",2,4.2,14,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"8b3cf480-ed12-45bb-91e2-35b498bc5484","PG in Konappana Agrahara MEN WOMEN SRI DEVI NEW LUXURY PG FOR MEN -Fully Furnished New Luxury Rooms ","Premium PG accommodation in electroniccity. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator, iron, balcony. Contact: 9686262574",8000.00,"# 123, Silicon Town, Near Family Express Super Market, Opp. to Tirumala Apartment, Electronic City Phase 2, Bangalore 560100 Landmark: Near Tech Mahindra, Siemens and TCS, Electronic City, Bangalore C","Bangalore","Karnataka","electroniccity","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator; iron; balcony","",2,4.2,12,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"eb800314-ec5b-4d63-b8b0-d16481388734","Fully Furnished New Luxury PG - LED TV in Each Room - HIGH Speed Wi-Fi Connectivity - North/South In","Premium PG accommodation in electroniccity. Amenities include: wifi, ac, tv, parking, meals, laundry, security. Contact: ",8000.00,"# 1B, Shreeraj Enclave, Manipal County Road, Singasandra, Begur Hobli, Bangalore-560068 Landmark: Next to MJ Builders Office (between Kudlu gate and Hosa Road Signal)","Bangalore","Karnataka","electroniccity","wifi; ac; tv; parking; meals; laundry; security","",2,4.2,35,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"dd36bde3-5894-4d66-933a-721d97d170de","Fully Furnished Posh PG - TV in Each room - North/South Indian Food - 3 time food - 24hrs Hot water ","Premium PG accommodation in electroniccity. Amenities include: ac, tv, parking, meals, security. Contact: ",8000.00,"# 2, 13Th Cross, C K Nagar, G K Layout (Sujana Convent Road) Hosa Road, Bangalore L/M: Near Bosch & Next to Reliance Fresh","Bangalore","Karnataka","electroniccity","ac; tv; parking; meals; security","",2,4.2,35,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"56cc1150-14b8-4356-896c-4ba1ae032ab7","Luxury PG with Spacious Rooms - LED TV in Each Room - WI-FI Connectivity - North & South Indian Home","Premium PG accommodation in electroniccity. Amenities include: wifi, ac, tv, parking, meals, laundry, security, cctv, refrigerator. Contact: ",8000.00,"Behind TATA BP Solar & Close to Tech Mahindra","Bangalore","Karnataka","electroniccity","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator","",2,4.2,58,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"85b94f78-7cbc-4e73-aeab-f5a70f76cfbe","Cricket Ground right next to PG - 1, 2, 3 & 4 Sharing ADDRESS: # 329, 5th Cross, Neeladri Nagar, Ele","Premium PG accommodation in electroniccity. Amenities include: wifi, ac, tv, parking, meals, laundry, security, refrigerator. Contact: ",8000.00,"# 329, 5th Cross, Neeladri Nagar, Electronic City Phase-I, Bangalore Landmark: HDFC Bank, Near Wipro Gate no. 16","Bangalore","Karnataka","electroniccity","wifi; ac; tv; parking; meals; laundry; security; refrigerator","",2,4.2,51,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"2b0b9c8f-7191-4208-8c17-7160404e4558","Cricket Ground right next to PG - 1, 2, 3 & 4 Sharing ADDRESS: Krishna Reddy layout, Konapanna Agrah","Premium PG accommodation in electroniccity. Amenities include: wifi, ac, tv, parking, meals, laundry, security, refrigerator. Contact: ",8000.00,"Krishna Reddy layout, Konapanna Agrahara, Opp. to Infosys, Electronics city , Bangalore-100 Landmark: Opp. to Infosys & Near Konnappana Agrahara Bustop","Bangalore","Karnataka","electroniccity","wifi; ac; tv; parking; meals; laundry; security; refrigerator","",2,4.2,36,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"4e75449d-8198-473b-b1cd-577190e0b889","PGs near Jain University Jayanagar VIJAYA NEW LUXURY PG FOR LADIES -Fully Furnished New Executive PG","Premium PG accommodation in jayanagar. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator, microwave. Contact: 9392973765",8000.00,"# 26, 22nd Main Rd, near Raghavendra Swamy Mutt, Marenahalli, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078a, Bengaluru, Karnataka 560095 Landmark: Near Raghavendra Swamy Mutt, close to Jain Uni","Bangalore","Karnataka","jayanagar","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator; microwave","",2,4.2,56,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"ccf3e45b-e4bd-4445-a214-a0976dcad390","Fully Furnished New Luxury PG - High Speed Wi-Fi Connectivity - LED TV in Each room with Setup Box -","Premium PG accommodation in jayanagar. Amenities include: wifi, ac, tv, parking, meals, laundry, security, cctv, refrigerator, microwave. Contact: ",8000.00,"# 14/1, 23rd A Main Road, 2nd Cross, Marenahalli, JP Nagar 2nd Phase, Bangalore 560078 Landmark: Near Jain University and RV Dental College or Aster RV Hoisptal and Close to Bangalore Central and Ragi","Bangalore","Karnataka","jayanagar","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator; microwave","",2,4.2,56,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"42875496-d972-40c4-9986-2401cb03bb30","Fully Furnished New Executive PG - High Speed Wi-Fi Connectivity - LED TV in Each room with Setup Bo","Premium PG accommodation in jayanagar. Amenities include: wifi, ac, tv, parking, meals, laundry, security, cctv, refrigerator, microwave. Contact: ",8000.00,"# 832, 17th F Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095 Landmark: Near Koramangala Club and Koramangala Bus Depot, 2 mins walk from Sony world Signal","Bangalore","Karnataka","jayanagar","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator; microwave","",2,4.2,58,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"9fb8d300-22fc-4de2-a02c-c9929cae6633","Fully Furnished New Executive PG - High Speed Wi-Fi Connectivity - LED TV in Each room with Setup Bo","Premium PG accommodation in jayanagar. Amenities include: wifi, ac, tv, parking, meals, laundry, security, cctv, refrigerator, microwave. Contact: ",8000.00,"# 26, 22nd Main Rd, near Raghavendra Swamy Mutt, Marenahalli, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078a, Bengaluru, Karnataka 560095 Landmark: Near Raghavendra Swamy Mutt, close to Jain Uni","Bangalore","Karnataka","jayanagar","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator; microwave","",2,4.2,32,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"21f38237-6a9b-4ae0-9a4f-faf067bede16","More Details MAHALAKSHMI NEW EXECUTIVE PG FOR MEN -Fully Furnished New Luxury Rooms - LED TV in ever","Premium PG accommodation in indiranagar. Amenities include: wifi, ac, tv, parking, meals, laundry, security, cctv, refrigerator. Contact: 8618061789",8000.00,"Sri Satyanarayana Temple Street, Someshwarapura, Halasuru, Bangalore - 560008, Karnataka, India Landmark: Connected to M G Road, 1 km at Trinity Circle, Near by Indira Nagar and Halasuru IT Hub Road, ","Bangalore","Karnataka","indiranagar","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator","",2,4.2,35,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"65455315-8efc-46c8-9b41-c905cc299a14","SRI SADAN NEW EXECUTIVE PG FOR LADIES -Fully Furnished New Luxury Rooms - LED TV in every room - Hi-","Premium PG accommodation in indiranagar. Amenities include: wifi, ac, tv, parking, meals, laundry, security, cctv, kitchen, refrigerator, microwave. Contact: 6362760969",8000.00,"Sree Rama Commercial Complex, Swami Vivekananda Road, Halasuru, Bangalore - 560008, Karnataka, India Landmark: Connected to M G Road, 1 km at Trinity Circle, Near by Indira Nagar and Halasuru IT Hub R","Bangalore","Karnataka","indiranagar","wifi; ac; tv; parking; meals; laundry; security; cctv; kitchen; refrigerator; microwave","",2,4.2,44,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"1e18b359-cebe-4f7c-812a-db8ca29f18d2","WOMEN MEN SRI SADAN NEW EXECUTIVE PG FOR LADIES -Fully Furnished New Luxury Rooms - LED TV in every ","Premium PG accommodation in indiranagar. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator, microwave. Contact: 6362760969",8000.00,"Sree Rama Commercial Complex, Swami Vivekananda Road, Halasuru, Bangalore - 560008, Karnataka, India Landmark: Connected to M G Road, 1 km at Trinity Circle, Near by Indira Nagar and Halasuru IT Hub R","Bangalore","Karnataka","indiranagar","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator; microwave","",2,4.2,34,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"4ab08746-1ed5-4b39-aad7-8761ca04cb16","Fully Furnished New Delux PG - LED TV in every room - WI-FI Connectivity - North & South Indian Food","Premium PG accommodation in indiranagar. Amenities include: wifi, ac, tv, parking, meals. Contact: ",8000.00,"7th Main Road, New Thippasandra main Road, Indiranagar, Bangalore Landmark: New thippasandra Main Road & Close to Bagmane Tech Park & BEML","Bangalore","Karnataka","indiranagar","wifi; ac; tv; parking; meals","",2,4.2,14,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"fd933e78-1489-45ae-860e-31027781d39d","Fully Furnished Posh PG - New Built - TV in every single room - North/South Indian Food - 3 times Fo","Premium PG accommodation in indiranagar. Amenities include: ac, tv, parking, meals, security. Contact: ",8000.00,"#28/2, Near Nandini Hotel, 18th Main, Indiranagar, Bangalore-560008 Alternative Route: road opp. to IBP petrol bunk,Near Manipal towers old Airport road, Kodihalli","Bangalore","Karnataka","indiranagar","ac; tv; parking; meals; security","",2,4.2,45,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"6a61c43c-a7f1-4a6b-a111-46b4286436c0","S NEW LUXURY PG FOR MEN - Fully Furnished New Luxury rooms - LED TV in every room - WI-FI connectivi","Premium PG accommodation in btmlayout. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator. Contact: 8867156164",8000.00,"10th A Main Rd, Stage 2, BTM Layout, Bengaluru, Karnataka 560076 Landmark: Near Udipi Garden Signal Contact: RAJAVARDHAN REDDY 8867156164 Please mention that you found the AD in payingguestinbengaluru","Bangalore","Karnataka","btmlayout","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator","",2,4.2,29,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"3c65e45a-c355-47bb-a2a3-1953731b3c6e","NEW LUXURY PG FOR GIRLS IN JP NAGAR -Fully Furnished New Luxury PG - High Speed Wi-Fi Connectivity -","Premium PG accommodation in btmlayout. Amenities include: wifi, ac, tv, parking, meals, laundry, security, gym, cctv, kitchen, refrigerator, microwave. Contact: 9606271555",8000.00,"# 14/1, 23rd A Main Road, 2nd Cross, Marenahalli, JP Nagar 2nd Phase, Bangalore 560078 Landmark: Near Jain University and RV Dental College or Aster RV Hoisptal and Close to Bangalore Central and Ragi","Bangalore","Karnataka","btmlayout","wifi; ac; tv; parking; meals; laundry; security; gym; cctv; kitchen; refrigerator; microwave","",2,4.2,45,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"bdc931c0-3f57-4341-9eef-39ea23412bed","Sharing PG photo's & More details Address: # 29/A, 30/B, 2nd Cross, N S Palya, BTM 2nd Stage, Banner","Premium PG accommodation in btmlayout. Amenities include: wifi, ac, tv, parking, meals, security. Contact: ",8000.00,"# 29/A, 30/B, 2nd Cross, N S Palya, BTM 2nd Stage, Bannerghatta Main road, Bangalore Landmark: Next to Shopper's Stop & Oracle","Bangalore","Karnataka","btmlayout","wifi; ac; tv; parking; meals; security","",2,4.2,16,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"41715544-1f5f-48cf-9892-be937a5dca31","omsaibalajipgs","Premium PG accommodation in btmlayout. Amenities include: wifi, ac, tv, meals. Contact: ",8000.00,"# 2, 29TH Main, 2ND A Cross, BTM 1st Stage, Bangalore Landmark: Right Behind AXA building & Near Vijaya Bank","Bangalore","Karnataka","btmlayout","wifi; ac; tv; meals","",2,4.2,54,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
"e637c640-6d81-44d3-9236-80da0fffc840","Fully Furnished New Luxury PG - High Speed Wi-Fi Connectivity - LED TV in Each room with Setup Box -","Premium PG accommodation in btmlayout. Amenities include: wifi, ac, tv, parking, meals, laundry, security, cctv, refrigerator, microwave. Contact: ",8000.00,"# 14/1, 23rd A Main Road, 2nd Cross, Marenahalli, JP Nagar 2nd Phase, Bangalore 560078 Landmark: Near Jain University and RV Dental College or Aster RV Hoisptal and Close to Bangalore Central and Ragi","Bangalore","Karnataka","btmlayout","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator; microwave","",2,4.2,44,"No smoking inside the premises; Visitors allowed only during day time; Maintain cleanliness; Follow house rules",12000,8000,6000,5000,"Fri Oct 24 2025 15:37:41 GMT+0530 (India Standard Time)","manual"
